Word	[ (Document1, Count1), ... ]
1945	(10, 8) (27, 1) (7, 1) (30, 1) (2, 11) (28, 1) (12, 1) (15, 1) (20, 1) (22, 1) (18, 2) (13, 1) (9, 1) 
1945nordyke	(10, 1) 
1945post	(7, 1) 
1945–1991	(22, 1) 
1946	(17, 1) (8, 1) (5, 1) 
1946-54	(10, 1) 
1947	(10, 1) (5, 1) (16, 1) (7, 2) 
1948	(7, 1) (5, 1) (10, 2) (8, 3) (15, 2) (17, 2) (11, 1) 
1949	(19, 1) (9, 1) (10, 1) (15, 2) 
1949american	(5, 1) 
1949see	(11, 1) 
1950	(10, 2) (17, 1) (8, 3) 
19500-tonne	(13, 1) (12, 1) 
1950s	(12, 5) (29, 1) (27, 5) (22, 1) (30, 2) (21, 1) (26, 1) (13, 5) (8, 1) 
1950sthe	(27, 1) 
1951	(5, 1) (29, 1) (15, 1) (17, 1) (10, 2) 
1951millett	(22, 1) 
1952	(17, 1) (16, 1) 
1952aircraft	(12, 1) (13, 1) 
1953	(10, 1) (27, 1) 
1954	(27, 1) (19, 1) (7, 2) (29, 1) (17, 3) 
1954saunders	(10, 1) 
1955	(17, 4) (27, 2) (5, 2) (29, 1) 
1955einsteins	(17, 1) 
1955mount	(17, 1) 
1956	(10, 4) (8, 1) (2, 1) (5, 2) (22, 2) 
1957	(19, 1) (5, 1) (9, 1) 
1958	(9, 1) (29, 1) (5, 2) 
1960	(17, 1) (8, 1) (21, 1) (13, 1) (12, 1) 
1960188	(23, 1) 
1960huston	(10, 1) 
1960s	(7, 1) (27, 6) (8, 1) (29, 2) (2, 1) 
1960views	(2, 1) 
1960weeks	(10, 1) 
1961	(5, 1) (13, 1) (12, 1) 
1961–1971	(5, 1) 
1961–1974	(5, 1) 
1962	(5, 4) (19, 1) 
1962in	(9, 1) 
1963	(10, 1) (4, 1) (5, 3) 
1964	(5, 1) (17, 1) 
1964–1979	(5, 1) 
1965	(5, 4) (17, 1) (9, 2) (10, 1) 
1965operation	(10, 1) 
1965paratroopers	(10, 1) 
1966	(5, 1) (26, 1) 
1966–1990	(5, 1) 
1967	(10, 1) (28, 1) (8, 5) 
1967a	(16, 1) 
1967–70	(15, 2) 
